demand,month,price,region,sales
448.0,Sep,4.0,NE,112.0
237.0,Oct,3.72727272727,NE,237.0
308.0,Nov,3.45454545455,NE,308.0
362.0,Dec,3.18181818182,NE,362.0
428.0,Jan,2.90909090909,NE,428.0
529.0,Feb,2.63636363636,NE,529.0
637.0,Mar,2.36363636364,NE,637.0
1010.0,Apr,2.09090909091,NE,1010.0
1925.51348749,May,1.81818181818,NE,962.756743746
0.0,Jun,1.54545454545,NE,815.322177703
0.0,Jul,1.27272727273,NE,899.34283051
0.0,Aug,1.0,NE,618.675953187
384.0,Sep,4.0,MA,96.0
236.0,Oct,3.72727272727,MA,236.0
280.0,Nov,3.45454545455,MA,280.0
366.0,Dec,3.18181818182,MA,366.0
392.0,Jan,2.90909090909,MA,392.0
530.0,Feb,2.63636363636,MA,530.0
608.0,Mar,2.36363636364,MA,608.0
812.0,Apr,2.09090909091,MA,812.0
1683.75813304,May,1.81818181818,MA,841.879066522
0.0,Jun,1.54545454545,MA,788.718857797
0.0,Jul,1.27272727273,MA,809.456435495
0.0,Aug,1.0,MA,632.068496269
552.0,Sep,4.0,SE,138.0
272.0,Oct,3.72727272727,SE,272.0
329.0,Nov,3.45454545455,SE,329.0
361.0,Dec,3.18181818182,SE,361.0
457.0,Jan,2.90909090909,SE,457.0
574.0,Feb,2.63636363636,SE,574.0
734.0,Mar,2.36363636364,SE,734.0
937.0,Apr,2.09090909091,SE,937.0
2001.25424742,May,1.81818181818,SE,1000.62712371
0.0,Jun,1.54545454545,SE,921.262523586
0.0,Jul,1.27272727273,SE,632.884385281
0.0,Aug,1.0,SE,579.121398944
492.0,Sep,4.0,MW,123.0
397.0,Oct,3.72727272727,MW,397.0
382.0,Nov,3.45454545455,MW,382.0
505.0,Dec,3.18181818182,MW,505.0
588.0,Jan,2.90909090909,MW,588.0
850.0,Feb,2.63636363636,MW,850.0
947.0,Mar,2.36363636364,MW,947.0
1252.15788711,Apr,2.09090909091,MW,1252.15788711
2576.89779519,May,1.81818181818,MW,1288.44889759
0.0,Jun,1.54545454545,MW,1060.45113926
0.0,Jul,1.27272727273,MW,1154.8353426
0.0,Aug,1.0,MW,817.665438679
412.0,Sep,4.0,DS,103.0
208.0,Oct,3.72727272727,DS,208.0
268.0,Nov,3.45454545455,DS,268.0
358.0,Dec,3.18181818182,DS,358.0
371.0,Jan,2.90909090909,DS,371.0
578.0,Feb,2.63636363636,DS,578.0
607.0,Mar,2.36363636364,DS,607.0
1146.25368152,Apr,2.09090909091,DS,573.126840762
1079.52374074,May,1.81818181818,DS,809.642805552
0.0,Jun,1.54545454545,DS,513.853745922
0.0,Jul,1.27272727273,DS,685.411061435
0.0,Aug,1.0,DS,479.092162162
204.0,Sep,4.0,NW,51.0
115.0,Oct,3.72727272727,NW,115.0
125.0,Nov,3.45454545455,NW,125.0
126.0,Dec,3.18181818182,NW,126.0
229.0,Jan,2.90909090909,NW,229.0
261.0,Feb,2.63636363636,NW,261.0
295.0,Mar,2.36363636364,NW,295.0
634.861458751,Apr,2.09090909091,NW,317.430729376
456.034051199,May,1.81818181818,NW,342.025538399
0.0,Jun,1.54545454545,NW,234.493298496
0.0,Jul,1.27272727273,NW,353.854314779
0.0,Aug,1.0,NW,231.929417601
408.0,Sep,4.0,SW,102.0
195.0,Oct,3.72727272727,SW,195.0
199.0,Nov,3.45454545455,SW,199.0
288.0,Dec,3.18181818182,SW,288.0
295.0,Jan,2.90909090909,SW,295.0
460.0,Feb,2.63636363636,SW,460.0
548.0,Mar,2.36363636364,SW,548.0
1356.65800389,Apr,2.09090909091,SW,678.329001947
778.173825562,May,1.81818181818,SW,583.630369172
0.0,Jun,1.54545454545,SW,295.661374312
0.0,Jul,1.27272727273,SW,598.316459173
0.0,Aug,1.0,SW,335.880303891
