intercept,c1,variance,region,product
-27.8084042461523,952.453869432619,1979.52426324065,NE,ORA
-77.5820437455019,1878.81291375172,7799.48164202478,MA,ORA
-30.2418396967919,985.852722091027,1433.69600911369,SE,ORA
-37.8924944295718,1570.32026027661,4067.9090050992,MW,ORA
-15.2422988655419,861.576407005504,613.187621709784,DS,ORA
5.59688122076693,428.977574287153,189.435921568562,NW,ORA
-0.989844232473373,646.607330769758,366.823496095517,SW,ORA
-21.1314656509422,1357.52194549907,928.204478821329,NE,POJ
0.856771546725718,2750.05938159917,3639.19008594832,MA,POJ
-21.0942296466649,1411.95418383151,1326.18575426759,SE,POJ
-24.8666238467153,1759.0268742009,1201.39463325109,MW,POJ
172.348523852013,805.46006826647,33209.5087588126,DS,POJ
60.9427795074699,165.30363903332,1384.77251155617,NW,POJ
83.5956808551468,312.776764639885,5099.88227983784,SW,POJ
-33.6765741153745,1389.93896454227,1454.18009671434,NE,ROJ
-85.4204936398029,2766.38075764743,3289.82174975071,MA,ROJ
-17.389790274297,1019.31875949665,370.411044918443,SE,ROJ
-19.4708379196932,1373.20976512181,1480.81496526541,MW,ROJ
-11.3483396277991,941.083551468732,301.92243960569,DS,ROJ
-1.85710555845791,444.229336634349,61.0832562473399,NW,ROJ
-2.31505631422416,948.260736403322,285.145349844015,SW,ROJ
-34.7557728894829,1189.06030376528,1070.92622910094,NE,FCOJ
-47.0436415323368,1232.30153607913,1160.20692781494,MA,FCOJ
-50.5040719950607,1378.5741099902,1309.56677701865,SE,FCOJ
-52.7533932285188,1684.23974924561,2536.16264478273,MW,FCOJ
-37.3113629838983,1145.40222284357,1121.77998860179,DS,FCOJ
-6.9353082933836,509.209030763693,204.331559848695,NW,FCOJ
-1.88482921337502,778.630706490585,404.601738990066,SW,FCOJ
