month,foreign,rate
Apr,BRA Real,0.359247852792
Aug,BRA Real,0.363861393366
Dec,BRA Real,0.354235053984
Feb,BRA Real,0.356777609547
Jan,BRA Real,0.355513598821
Jul,BRA Real,0.362757154772
Jun,BRA Real,0.361618000025
Mar,BRA Real,0.358023529468
May,BRA Real,0.360447134497
Nov,BRA Real,0.352945572629
Oct,BRA Real,0.35164878312
Sep,BRA Real,0.350348334386
Apr,SPA Euro,1.1328059102
Aug,SPA Euro,1.14327122883
Dec,SPA Euro,1.12143491737
Feb,SPA Euro,1.12720243013
Jan,SPA Euro,1.12433515828
Jul,SPA Euro,1.14076638282
Jun,SPA Euro,1.13818233327
Mar,SPA Euro,1.13002866494
May,SPA Euro,1.13552635125
Nov,SPA Euro,1.11850986815
Oct,SPA Euro,1.11556824118
Sep,SPA Euro,1.11261831364
