demand,price,region,sales
424.0,3.43,NE,212.0
404.0,3.43,NE,404.0
378.0,3.43,NE,378.0
324.0,3.43,NE,324.0
374.0,3.43,NE,374.0
385.0,3.43,NE,385.0
374.0,3.43,NE,374.0
387.0,3.43,NE,387.0
460.0,3.43,NE,460.0
422.0,3.43,NE,422.0
464.0,3.43,NE,464.0
490.0,3.43,NE,490.0
716.0,3.38,MA,358.0
936.0,3.38,MA,936.0
732.042811425,3.38,MA,732.042811425
855.0,3.38,MA,855.0
840.0,3.38,MA,840.0
896.0,3.38,MA,896.0
920.996623401,3.38,MA,920.996623401
961.0,3.38,MA,961.0
923.0,3.38,MA,923.0
1069.0,3.38,MA,1069.0
790.210426459,3.38,MA,790.210426459
831.0,3.38,MA,831.0
288.0,4.0,SE,144.0
328.0,4.0,SE,328.0
278.0,4.0,SE,278.0
243.0,4.0,SE,243.0
298.0,4.0,SE,298.0
292.0,4.0,SE,292.0
282.0,4.0,SE,282.0
308.0,4.0,SE,308.0
334.0,4.0,SE,334.0
290.0,4.0,SE,290.0
313.0,4.0,SE,313.0
333.0,4.0,SE,333.0
350.519337017,4.0,MW,175.259668508
387.882981366,4.0,MW,387.882981366
410.966754925,4.0,MW,410.966754925
461.997894737,4.0,MW,461.997894737
344.0,4.0,MW,344.0
431.0,4.0,MW,431.0
359.383655239,4.0,MW,359.383655239
295.66987594,4.0,MW,295.66987594
401.348101977,4.0,MW,401.348101977
444.638298471,4.0,MW,444.638298471
400.369017626,4.0,MW,400.369017626
405.176182493,4.0,MW,405.176182493
464.121546961,3.35,DS,232.060773481
495.195031056,3.35,DS,495.195031056
486.778301887,3.35,DS,486.778301887
542.332631579,3.35,DS,542.332631579
478.0,3.35,DS,478.0
519.0,3.35,DS,519.0
529.0,3.35,DS,529.0
550.081393994,3.35,DS,550.081393994
495.343081761,3.35,DS,495.343081761
506.792208243,3.35,DS,506.792208243
474.472182336,3.35,DS,474.472182336
477.473381867,3.35,DS,477.473381867
208.0,4.0,NW,104.0
160.0,4.0,NW,160.0
138.0,4.0,NW,138.0
171.0,4.0,NW,171.0
145.0,4.0,NW,145.0
176.0,4.0,NW,176.0
139.0,4.0,NW,139.0
163.0,4.0,NW,163.0
164.0,4.0,NW,164.0
182.0,4.0,NW,182.0
149.0,4.0,NW,149.0
138.0,4.0,NW,138.0
333.359116022,4.0,SW,166.679558011
253.921987578,4.0,SW,253.921987578
271.940566038,4.0,SW,271.940566038
266.469473684,4.0,SW,266.469473684
244.0,4.0,SW,244.0
192.0,4.0,SW,192.0
287.0,4.0,SW,287.0
247.048730066,4.0,SW,247.048730066
235.308816262,4.0,SW,235.308816262
228.569493286,4.0,SW,228.569493286
223.299950854,4.0,SW,223.299950854
255.15043564,4.0,SW,255.15043564
