storage,t,throwout
S35,1.0,-774.10058305
S73,1.0,-1050.92893901
S59,1.0,-478.218606254
S51,1.0,-824.736095221
S35,2.0,-820.75217622
S73,2.0,-1053.94761119
S59,2.0,-492.244399751
S51,2.0,-562.756442418
S35,3.0,-711.68978485
S73,3.0,-1079.32042879
S59,3.0,-420.930203482
S51,3.0,-241.054950652
S35,4.0,-715.052452632
S73,4.0,-892.839880867
S59,4.0,-438.972521549
S51,4.0,-294.74419357
S35,5.0,-715.052452632
S73,5.0,-909.299179662
S59,5.0,-442.040490809
S51,5.0,-294.74419357
S35,6.0,-715.052452632
S73,6.0,-920.698983458
S59,6.0,-437.473341569
S51,6.0,-294.74419357
S35,7.0,-843.142864172
S73,7.0,-930.64846506
S59,7.0,-428.842822504
S51,7.0,-294.74419357
S35,8.0,-593.142864172
S73,8.0,-943.603508104
S59,8.0,-424.534685936
S51,8.0,-294.74419357
S35,9.0,-605.544239482
S73,9.0,-954.526412859
S59,9.0,-511.818287057
S51,9.0,-294.74419357
S35,10.0,-618.555276534
S73,10.0,-962.184664734
S59,10.0,-332.980351494
S51,10.0,-294.74419357
S35,11.0,-757.454251129
S73,11.0,-1072.9392103
S59,11.0,-362.855824983
S51,11.0,-294.74419357
S35,12.0,-593.142864172
S73,12.0,-895.620253205
S59,12.0,-363.534225427
S51,12.0,-294.74419357
S35,13.0,-609.453358434
S73,13.0,-902.563625472
S59,13.0,-358.852837069
S51,13.0,-294.74419357
S35,14.0,-622.799638613
S73,14.0,-910.413140383
S59,14.0,-370.730577089
S51,14.0,-294.74419357
S35,15.0,-639.459829516
S73,15.0,-910.095651531
S59,15.0,-373.269644972
S51,15.0,-294.74419357
S35,16.0,-783.958863746
S73,16.0,-930.686441128
S59,16.0,-390.822355871
S51,16.0,-294.74419357
S35,17.0,-593.142864172
S73,17.0,-941.246115786
S59,17.0,-414.057639549
S51,17.0,-294.74419357
S35,18.0,-610.374727768
S73,18.0,-949.531866562
S59,18.0,-407.968880722
S51,18.0,-294.74419357
S35,19.0,-750.061907457
S73,19.0,-958.051336211
S59,19.0,-421.819069951
S51,19.0,-294.74419357
S35,20.0,-593.142864172
S73,20.0,-964.325175629
S59,20.0,-438.128147231
S51,20.0,-294.74419357
S35,21.0,-606.039553024
S73,21.0,-973.923958158
S59,21.0,-444.34531974
S51,21.0,-294.74419357
S35,22.0,-616.291070723
S73,22.0,-986.18895728
S59,22.0,-434.070118762
S51,22.0,-294.74419357
S35,23.0,-634.684267809
S73,23.0,-991.856246335
S59,23.0,-425.634211698
S51,23.0,-294.74419357
S35,24.0,-649.69573001
S73,24.0,-995.887150172
S59,24.0,-435.071395905
S51,24.0,-294.74419357
S35,25.0,-667.339577323
S73,25.0,-995.887150172
S59,25.0,-433.908128091
S51,25.0,-294.74419357
S35,26.0,-685.695578841
S73,26.0,-995.887150172
S59,26.0,-434.065417928
S51,26.0,-294.74419357
S35,27.0,-699.053485356
S73,27.0,-995.887150172
S59,27.0,-426.173200347
S51,27.0,-294.74419357
S35,28.0,-708.244745838
S73,28.0,-992.241077417
S59,28.0,-417.99584983
S51,28.0,-294.74419357
S35,29.0,-715.052452632
S73,29.0,-980.202955353
S59,29.0,-416.911336879
S51,29.0,-294.74419357
S35,30.0,-715.052452632
S73,30.0,-958.832882733
S59,30.0,-422.116169582
S51,30.0,-294.74419357
S35,31.0,-715.052452632
S73,31.0,-979.215706764
S59,31.0,-423.433359426
S51,31.0,-294.74419357
S35,32.0,-715.052452632
S73,32.0,-995.887150172
S59,32.0,-424.10170344
S51,32.0,-294.74419357
S35,33.0,-715.052452632
S73,33.0,-995.62203668
S59,33.0,-431.791157483
S51,33.0,-294.74419357
S35,34.0,-715.052452632
S73,34.0,-995.887150172
S59,34.0,-433.15532968
S51,34.0,-294.74419357
S35,35.0,-715.052452632
S73,35.0,-981.757753888
S59,35.0,-512.378436214
S51,35.0,-294.74419357
S35,36.0,-715.052452632
S73,36.0,-983.761081744
S59,36.0,-339.940813286
S51,36.0,-294.74419357
S35,37.0,-715.052452632
S73,37.0,-983.841730289
S59,37.0,-342.39344875
S51,37.0,-294.74419357
S35,38.0,-715.052452632
S73,38.0,-1096.15404714
S59,38.0,-345.191945439
S51,38.0,-294.74419357
S35,39.0,-715.052452632
S73,39.0,-883.604087647
S59,39.0,-355.447981595
S51,39.0,-294.74419357
S35,40.0,-715.052452632
S73,40.0,-887.330280837
S59,40.0,-374.283567079
S51,40.0,-294.74419357
S35,41.0,-715.052452632
S73,41.0,-893.160556777
S59,41.0,-375.668789051
S51,41.0,-294.74419357
S35,42.0,-715.052452632
S73,42.0,-908.310039237
S59,42.0,-392.414838386
S51,42.0,-294.74419357
S35,43.0,-715.052452632
S73,43.0,-918.203991072
S59,43.0,-416.120142302
S51,43.0,-294.74419357
S35,44.0,-715.052452632
S73,44.0,-936.61098028
S59,44.0,-416.401922415
S51,44.0,-294.74419357
S35,45.0,-715.052452632
S73,45.0,-950.20595696
S59,45.0,-416.391191436
S51,45.0,-294.74419357
S35,46.0,-715.052452632
S73,46.0,-963.710304916
S59,46.0,-421.547490988
S51,46.0,-294.74419357
S35,47.0,-715.052452632
S73,47.0,-968.462123625
S59,47.0,-426.408004546
S51,47.0,-294.74419357
S35,48.0,-715.052452632
S73,48.0,-977.507683896
S59,48.0,-418.882716923
S51,48.0,-294.74419357
